CUSTOMERS 100
VEHICLE AUTONOMY 500
PIPELINE DEPTH 3

VEHICLE DEPOT : 
0 25 25

CUSTOMERS : 
1 73 69
2 59 32
3 69 27
4 11 23
5 75 80
6 11 53
7 83 92
8 96 65
9 75 65
10 3 56
11 61 75
12 73 22
13 23 48
14 78 90
15 6 96
16 95 51
17 44 55
18 82 13
19 73 40
20 29 13
21 63 68
22 9 16
23 9 24
24 60 35
25 5 87
26 20 59
27 46 7
28 67 1
29 68 93
30 88 33
31 57 75
32 48 22
33 84 23
34 32 77
35 84 49
36 24 83
37 19 77
38 21 12
39 83 57
40 91 26
41 25 87
42 78 70
43 44 35
44 78 69
45 69 92
46 97 84
47 29 28
48 27 72
49 98 13
50 4 28
51 9 46
52 9 86
53 39 38
54 44 14
55 2 51
56 29 12
57 51 50
58 93 55
59 70 82
60 66 68
61 14 94
62 35 73
63 73 31
64 2 43
65 78 78
66 71 3
67 65 82
68 91 24
69 38 24
70 80 96
71 70 28
72 43 11
73 83 59
74 27 88
75 71 29
76 52 59
77 14 61
78 84 87
79 73 29
80 35 42
81 19 4
82 68 66
83 39 82
84 58 51
85 15 99
86 59 62
87 64 57
88 8 79
89 90 36
90 66 76
91 87 87
92 34 61
93 31 49
94 29 93
95 34 41
96 67 36
97 11 100
98 38 93
99 83 29
100 53 70

PIPELINE SOURCE : 
101 75 75
