CUSTOMERS 100
VEHICLE AUTONOMY 500
PIPELINE DEPTH 3

VEHICLE DEPOT : 
0 25 25

CUSTOMERS : 
1 42 68
2 35 1
3 70 25
4 79 59
5 63 65
6 6 46
7 82 28
8 62 92
9 96 43
10 28 37
11 92 5
12 3 54
13 93 83
14 22 17
15 19 96
16 48 27
17 72 39
18 70 13
19 68 100
20 36 95
21 4 12
22 23 34
23 74 65
24 42 12
25 54 69
26 48 45
27 63 58
28 38 60
29 24 42
30 30 79
31 17 36
32 91 43
33 89 7
34 41 43
35 65 49
36 47 6
37 91 30
38 71 51
39 7 2
40 94 49
41 30 24
42 85 55
43 57 41
44 67 77
45 32 9
46 45 40
47 27 24
48 38 39
49 19 83
50 30 42
51 34 16
52 40 59
53 5 31
54 78 7
55 74 87
56 22 46
57 25 73
58 71 30
59 78 74
60 98 13
61 87 91
62 62 37
63 56 68
64 56 75
65 32 53
66 51 51
67 42 25
68 67 31
69 8 92
70 8 38
71 58 88
72 54 84
73 46 10
74 10 59
75 22 89
76 23 47
77 7 31
78 14 69
79 1 92
80 63 56
81 11 60
82 25 38
83 49 84
84 96 42
85 3 51
86 92 37
87 75 21
88 97 22
89 49 100
90 69 85
91 82 35
92 54 100
93 19 39
94 1 89
95 28 68
96 29 94
97 8 22
98 11 18
99 14 15
100 10 17

PIPELINE SOURCE : 
101 75 75
