CUSTOMERS 100
VEHICLE AUTONOMY 500
PIPELINE DEPTH 3

VEHICLE DEPOT : 
0 25 25

CUSTOMERS : 
1 60 87
2 88 30
3 43 18
4 46 57
5 89 53
6 55 67
7 34 61
8 20 32
9 39 68
10 77 99
11 15 21
12 54 8
13 70 17
14 23 43
15 8 64
16 61 48
17 94 31
18 18 44
19 77 15
20 27 18
21 35 21
22 72 93
23 65 55
24 67 94
25 65 76
26 1 13
27 1 52
28 77 80
29 44 78
30 90 62
31 86 73
32 35 45
33 62 64
34 5 47
35 89 9
36 58 31
37 24 65
38 75 47
39 38 82
40 19 12
41 93 92
42 33 24
43 62 92
44 62 31
45 99 70
46 92 1
47 80 18
48 18 15
49 96 42
50 37 68
51 29 54
52 10 74
53 82 4
54 84 68
55 86 3
56 31 58
57 82 68
58 11 67
59 88 72
60 78 46
61 65 39
62 72 48
63 16 93
64 12 58
65 6 54
66 72 81
67 41 31
68 76 21
69 91 78
70 99 87
71 5 90
72 32 45
73 89 11
74 19 20
75 60 28
76 10 20
77 80 17
78 1 97
79 54 59
80 31 94
81 7 50
82 55 73
83 61 95
84 55 34
85 47 30
86 72 29
87 60 42
88 22 89
89 67 34
90 86 71
91 30 62
92 61 9
93 83 63
94 7 79
95 80 98
96 88 39
97 70 84
98 41 96
99 10 58
100 18 35

PIPELINE SOURCE : 
101 75 75
