CUSTOMERS 100
VEHICLE AUTONOMY 500
PIPELINE DEPTH 3

VEHICLE DEPOT : 
0 25 25

CUSTOMERS : 
1 22 71
2 27 35
3 6 84
4 51 99
5 80 2
6 94 35
7 38 35
8 57 94
9 77 6
10 63 49
11 82 1
12 14 42
13 56 56
14 43 63
15 12 78
16 25 79
17 53 44
18 97 74
19 41 14
20 76 73
21 19 11
22 18 33
23 13 96
24 70 32
25 41 89
26 86 91
27 98 90
28 91 46
29 54 15
30 52 41
31 45 59
32 36 60
33 93 6
34 65 82
35 4 30
36 76 9
37 93 98
38 50 57
39 62 28
40 68 42
41 30 41
42 14 75
43 2 78
44 16 84
45 14 93
46 25 2
47 93 60
48 71 29
49 28 85
50 76 87
51 99 71
52 88 48
53 5 4
54 22 64
55 7 64
56 11 72
57 90 41
58 65 43
59 20 14
60 92 5
61 19 33
62 51 6
63 76 40
64 4 23
65 99 48
66 85 49
67 72 65
68 14 76
69 46 13
70 47 79
71 70 63
72 20 86
73 90 45
74 66 41
75 46 9
76 19 71
77 2 24
78 33 73
79 53 88
80 71 64
81 2 4
82 24 28
83 1 70
84 16 66
85 29 44
86 48 89
87 44 38
88 10 64
89 50 82
90 89 43
91 9 61
92 22 59
93 55 89
94 47 91
95 50 44
96 31 21
97 49 68
98 37 84
99 36 27
100 86 39

PIPELINE SOURCE : 
101 75 75
