CUSTOMERS 100
VEHICLE AUTONOMY 500
PIPELINE DEPTH 3

VEHICLE DEPOT : 
0 25 25

CUSTOMERS : 
1 54 30
2 25 49
3 24 60
4 58 67
5 45 56
6 19 27
7 12 26
8 56 2
9 50 97
10 85 16
11 65 43
12 76 14
13 43 97
14 49 73
15 27 7
16 74 30
17 5 6
18 27 13
19 76 94
20 66 37
21 37 42
22 15 95
23 57 53
24 37 39
25 83 56
26 16 32
27 31 42
28 26 12
29 38 87
30 91 51
31 63 35
32 94 54
33 17 53
34 9 63
35 34 55
36 4 35
37 4 57
38 49 25
39 18 14
40 10 29
41 1 81
42 19 59
43 51 56
44 62 65
45 4 77
46 44 10
47 3 62
48 90 49
49 83 54
50 75 21
51 3 24
52 32 70
53 79 60
54 9 20
55 72 4
56 46 82
57 5 93
58 86 14
59 99 90
60 23 39
61 38 11
62 62 35
63 9 62
64 60 94
65 16 70
66 38 70
67 59 1
68 72 65
69 18 16
70 56 16
71 31 40
72 13 89
73 83 55
74 86 11
75 85 75
76 81 16
77 52 42
78 16 80
79 11 99
80 74 89
81 78 33
82 57 90
83 14 9
84 42 91
85 24 64
86 29 85
87 79 1
88 72 86
89 75 72
90 34 68
91 54 96
92 69 26
93 77 30
94 51 99
95 10 94
96 87 81
97 17 50
98 68 29
99 80 65
100 22 6

PIPELINE SOURCE : 
101 75 75
