CUSTOMERS 100
VEHICLE AUTONOMY 300
PIPELINE DEPTH 3

VEHICLE DEPOT : 
0 50 50

CUSTOMERS : 
1 69 52
2 17 80
3 69 41
4 32 34
5 80 64
6 60 54
7 37 96
8 66 75
9 21 36
10 81 77
11 56 26
12 72 9
13 60 57
14 3 33
15 6 41
16 76 63
17 86 63
18 81 37
19 98 3
20 9 81
21 41 77
22 59 94
23 41 47
24 75 74
25 98 81
26 36 73
27 1 8
28 56 67
29 42 89
30 82 69
31 16 97
32 26 10
33 13 37
34 56 63
35 44 43
36 22 23
37 13 49
38 19 69
39 18 15
40 51 91
41 36 60
42 70 96
43 4 41
44 80 100
45 6 92
46 62 82
47 53 54
48 34 30
49 88 43
50 54 84
51 21 15
52 19 45
53 64 30
54 53 65
55 70 71
56 6 48
57 95 88
58 27 77
59 24 41
60 80 91
61 89 11
62 72 46
63 22 71
64 84 90
65 56 79
66 80 7
67 63 36
68 88 97
69 34 89
70 36 80
71 94 91
72 63 66
73 2 6
74 8 68
75 70 35
76 72 58
77 99 46
78 98 19
79 39 45
80 73 64
81 29 65
82 2 24
83 91 5
84 2 28
85 98 93
86 72 64
87 2 64
88 22 66
89 22 46
90 11 96
91 42 23
92 13 52
93 16 56
94 94 39
95 80 83
96 9 55
97 23 8
98 46 39
99 45 91
100 40 55

PIPELINE SOURCE : 
101 75 75
