CUSTOMERS 100
VEHICLE AUTONOMY 500
PIPELINE DEPTH 3

VEHICLE DEPOT : 
0 25 25

CUSTOMERS : 
1 45 60
2 22 59
3 44 69
4 78 20
5 58 42
6 92 65
7 24 16
8 73 30
9 42 16
10 16 37
11 58 60
12 1 53
13 94 42
14 30 49
15 28 99
16 75 34
17 86 39
18 71 63
19 30 85
20 10 79
21 24 86
22 1 25
23 94 6
24 13 66
25 68 8
26 78 85
27 5 91
28 35 92
29 22 86
30 35 91
31 43 99
32 87 19
33 22 25
34 98 77
35 55 70
36 9 28
37 94 69
38 67 3
39 39 1
40 20 19
41 91 85
42 40 57
43 9 33
44 79 15
45 88 40
46 75 21
47 28 55
48 89 42
49 99 43
50 3 22
51 5 47
52 57 10
53 34 9
54 62 34
55 87 5
56 86 43
57 43 61
58 62 21
59 44 79
60 88 14
61 64 92
62 35 16
63 57 62
64 13 12
65 60 52
66 39 71
67 25 8
68 8 85
69 52 2
70 90 59
71 42 91
72 14 13
73 56 61
74 94 73
75 3 77
76 44 74
77 67 52
78 76 29
79 33 62
80 70 4
81 30 8
82 93 52
83 54 93
84 71 20
85 73 8
86 95 6
87 41 84
88 63 10
89 8 39
90 61 72
91 72 55
92 48 15
93 24 30
94 90 67
95 88 57
96 33 71
97 40 67
98 23 84
99 61 54
100 6 92

PIPELINE SOURCE : 
101 75 75
