CUSTOMERS 100
VEHICLE AUTONOMY 800
PIPELINE DEPTH 3

VEHICLE DEPOT : 
0 25 25

CUSTOMERS : 
1 59 48
2 53 59
3 80 3
4 84 91
5 3 69
6 23 96
7 36 9
8 62 43
9 95 100
10 89 79
11 43 58
12 42 48
13 70 46
14 81 14
15 65 11
16 62 86
17 74 5
18 63 4
19 3 70
20 55 30
21 53 75
22 50 31
23 45 45
24 50 19
25 66 64
26 53 74
27 71 32
28 48 12
29 70 99
30 99 4
31 53 80
32 54 44
33 23 89
34 64 35
35 51 23
36 41 12
37 93 52
38 81 78
39 17 77
40 79 21
41 16 49
42 99 80
43 36 58
44 84 63
45 3 63
46 21 71
47 23 74
48 42 87
49 89 18
50 18 93
51 99 68
52 50 66
53 90 33
54 20 82
55 4 31
56 29 32
57 90 53
58 31 73
59 65 8
60 96 29
61 82 91
62 11 78
63 72 37
64 60 44
65 41 34
66 38 94
67 31 75
68 94 83
69 4 62
70 91 63
71 8 98
72 52 24
73 91 18
74 41 4
75 67 84
76 62 60
77 46 87
78 52 66
79 2 41
80 10 98
81 84 51
82 59 22
83 76 82
84 88 72
85 88 100
86 5 80
87 39 1
88 31 62
89 19 6
90 41 29
91 60 23
92 99 61
93 99 36
94 82 15
95 68 94
96 97 62
97 47 39
98 71 39
99 77 56
100 18 72

PIPELINE SOURCE : 
101 75 75
