CUSTOMERS 100
VEHICLE AUTONOMY 200
PIPELINE DEPTH 2

VEHICLE DEPOT : 
0 25 25

CUSTOMERS : 
1 61 53
2 59 34
3 56 66
4 27 2
5 35 60
6 94 49
7 74 93
8 94 34
9 38 4
10 91 12
11 95 69
12 28 99
13 90 49
14 80 48
15 50 32
16 70 76
17 99 50
18 37 100
19 24 44
20 32 55
21 62 35
22 86 68
23 17 94
24 5 67
25 54 9
26 24 85
27 93 68
28 49 70
29 31 12
30 15 91
31 28 44
32 5 100
33 75 96
34 7 59
35 90 59
36 10 90
37 48 41
38 19 65
39 76 27
40 90 4
41 67 13
42 41 71
43 77 96
44 42 87
45 52 10
46 88 84
47 86 91
48 51 87
49 56 82
50 29 3
51 78 63
52 25 66
53 73 33
54 86 29
55 47 90
56 79 84
57 26 66
58 61 46
59 79 22
60 56 21
61 28 74
62 35 52
63 76 37
64 35 2
65 38 11
66 75 91
67 57 72
68 81 36
69 46 83
70 26 19
71 74 13
72 38 99
73 6 63
74 18 93
75 40 48
76 47 4
77 32 16
78 40 59
79 30 46
80 95 100
81 46 73
82 76 63
83 73 74
84 81 39
85 98 43
86 9 4
87 78 26
88 79 83
89 70 37
90 79 40
91 39 22
92 27 64
93 78 76
94 25 82
95 1 62
96 63 3
97 49 96
98 85 17
99 38 8
100 94 85

PIPELINE SOURCE : 
101 75 75
