CUSTOMERS 100
VEHICLE AUTONOMY 500
PIPELINE DEPTH 3

VEHICLE DEPOT : 
0 25 25

CUSTOMERS : 
1 5 24
2 26 79
3 25 82
4 31 34
5 24 95
6 31 47
7 88 46
8 6 17
9 51 90
10 39 64
11 36 98
12 10 31
13 25 9
14 38 75
15 21 73
16 94 56
17 35 62
18 57 7
19 85 76
20 83 20
21 42 33
22 85 80
23 80 84
24 68 37
25 26 19
26 38 29
27 20 78
28 38 92
29 57 96
30 61 2
31 94 33
32 37 81
33 76 8
34 85 75
35 20 91
36 77 42
37 52 30
38 91 75
39 73 92
40 90 88
41 91 40
42 94 54
43 64 82
44 4 6
45 77 80
46 96 40
47 69 99
48 84 40
49 16 22
50 94 27
51 23 39
52 29 82
53 100 79
54 92 24
55 44 35
56 44 50
57 3 8
58 3 42
59 88 47
60 92 38
61 14 1
62 17 91
63 63 36
64 27 11
65 78 83
66 61 90
67 6 75
68 64 23
69 96 67
70 61 39
71 89 12
72 46 68
73 26 68
74 90 43
75 64 48
76 3 18
77 100 24
78 27 4
79 49 52
80 71 37
81 59 68
82 57 6
83 32 63
84 20 76
85 57 32
86 96 45
87 92 4
88 89 16
89 51 20
90 84 34
91 76 43
92 70 1
93 55 79
94 86 58
95 34 94
96 91 4
97 51 34
98 23 72
99 12 91
100 39 42

PIPELINE SOURCE : 
101 75 75
