CUSTOMERS 100
VEHICLE AUTONOMY 200
PIPELINE DEPTH 4

VEHICLE DEPOT : 
0 25 25

CUSTOMERS : 
1 93 86
2 3 81
3 14 28
4 3 100
5 28 26
6 44 25
7 24 73
8 62 82
9 4 33
10 6 94
11 26 32
12 93 43
13 23 87
14 65 1
15 88 61
16 14 75
17 71 71
18 36 34
19 12 61
20 97 68
21 86 51
22 41 95
23 96 25
24 20 26
25 77 95
26 59 3
27 72 67
28 79 94
29 52 85
30 19 65
31 20 53
32 1 88
33 61 27
34 11 58
35 71 16
36 77 28
37 44 59
38 65 10
39 83 87
40 66 88
41 78 75
42 26 28
43 30 29
44 24 21
45 3 63
46 24 97
47 38 62
48 96 26
49 65 61
50 3 17
51 31 27
52 12 72
53 12 48
54 54 21
55 91 25
56 89 64
57 41 52
58 63 30
59 1 14
60 59 79
61 66 8
62 78 1
63 59 40
64 4 61
65 58 25
66 78 9
67 14 88
68 2 51
69 61 29
70 94 85
71 6 41
72 12 5
73 36 57
74 73 51
75 24 86
76 57 17
77 27 58
78 38 72
79 70 62
80 97 23
81 18 13
82 18 97
83 86 42
84 24 30
85 30 66
86 60 33
87 97 56
88 54 63
89 85 35
90 55 73
91 58 70
92 33 64
93 8 84
94 12 36
95 68 49
96 76 39
97 24 43
98 55 12
99 42 76
100 60 26

PIPELINE SOURCE : 
101 75 75
