CUSTOMERS 100
VEHICLE AUTONOMY 500
PIPELINE DEPTH 3

VEHICLE DEPOT : 
0 25 25

CUSTOMERS : 
1 36 52
2 1 50
3 20 57
4 99 4
5 25 9
6 45 10
7 90 3
8 96 86
9 94 44
10 24 88
11 15 4
12 49 1
13 59 19
14 81 97
15 99 82
16 90 99
17 10 58
18 73 23
19 39 93
20 39 80
21 91 58
22 59 92
23 16 89
24 57 12
25 3 35
26 73 56
27 29 47
28 63 87
29 76 34
30 70 43
31 45 17
32 82 99
33 23 52
34 22 100
35 58 77
36 93 90
37 76 13
38 1 11
39 4 70
40 62 89
41 2 90
42 56 24
43 3 86
44 83 86
45 89 27
46 18 58
47 33 33
48 70 55
49 22 90
50 77 30
51 69 93
52 26 56
53 35 50
54 42 13
55 46 61
56 19 54
57 40 24
58 80 97
59 88 30
60 50 38
61 67 50
62 94 96
63 98 17
64 87 6
65 89 83
66 56 35
67 15 2
68 17 72
69 87 64
70 14 56
71 86 54
72 13 9
73 33 46
74 14 57
75 22 59
76 47 83
77 82 45
78 97 23
79 30 62
80 36 51
81 74 67
82 45 60
83 93 40
84 54 25
85 55 11
86 46 50
87 87 14
88 75 23
89 69 19
90 88 6
91 3 26
92 78 15
93 15 25
94 35 75
95 73 60
96 34 71
97 88 98
98 19 78
99 74 71
100 64 69

PIPELINE SOURCE : 
101 75 75
