CUSTOMERS 100
VEHICLE AUTONOMY 600
PIPELINE DEPTH 3

VEHICLE DEPOT : 
0 10 10

CUSTOMERS : 
1 27 17
2 17 27
3 67 88
4 82 65
5 41 87
6 22 63
7 22 65
8 10 16
9 3 74
10 25 42
11 46 63
12 24 32
13 7 69
14 19 3
15 8 8
16 82 13
17 37 31
18 15 10
19 85 57
20 91 94
21 97 53
22 55 46
23 9 49
24 92 13
25 32 15
26 40 59
27 23 5
28 96 53
29 70 80
30 39 24
31 19 67
32 60 99
33 87 97
34 63 34
35 59 23
36 47 93
37 38 26
38 48 59
39 3 8
40 99 31
41 93 1
42 79 100
43 53 49
44 83 41
45 16 76
46 63 68
47 37 98
48 19 98
49 29 52
50 17 31
51 50 26
52 59 30
53 21 41
54 61 48
55 63 56
56 76 93
57 62 55
58 99 47
59 15 47
60 89 70
61 39 64
62 76 16
63 22 76
64 16 29
65 35 71
66 6 65
67 58 63
68 62 25
69 50 70
70 31 24
71 51 34
72 26 11
73 38 37
74 38 79
75 94 37
76 15 65
77 92 50
78 36 6
79 38 5
80 38 24
81 65 71
82 9 69
83 82 86
84 53 74
85 53 95
86 77 27
87 97 73
88 50 41
89 75 20
90 44 12
91 42 90
92 20 66
93 6 86
94 17 51
95 16 10
96 65 67
97 94 75
98 10 1
99 96 74
100 90 62

PIPELINE SOURCE : 
101 90 90
