CUSTOMERS 100
VEHICLE AUTONOMY 500
PIPELINE DEPTH 1

VEHICLE DEPOT : 
0 25 25

CUSTOMERS : 
1 8 33
2 97 68
3 23 83
4 11 42
5 32 88
6 6 80
7 22 39
8 52 48
9 9 47
10 77 60
11 90 23
12 67 87
13 56 29
14 15 61
15 54 78
16 49 4
17 62 32
18 83 56
19 98 7
20 53 22
21 97 82
22 22 56
23 48 25
24 19 36
25 77 75
26 60 99
27 75 54
28 23 36
29 44 89
30 54 33
31 48 81
32 27 79
33 51 2
34 62 100
35 56 64
36 17 74
37 62 46
38 74 75
39 51 54
40 82 88
41 100 11
42 44 66
43 73 30
44 82 13
45 77 82
46 48 91
47 72 6
48 73 33
49 90 21
50 66 32
51 59 94
52 7 79
53 49 7
54 72 67
55 97 98
56 21 95
57 30 89
58 10 85
59 70 79
60 18 16
61 27 85
62 69 7
63 29 98
64 19 91
65 100 86
66 87 100
67 21 11
68 72 14
69 16 86
70 19 81
71 32 68
72 88 45
73 87 8
74 61 28
75 75 32
76 53 72
77 69 94
78 86 38
79 12 5
80 78 7
81 69 23
82 14 1
83 43 38
84 39 89
85 56 90
86 48 82
87 94 85
88 88 62
89 94 18
90 2 83
91 48 66
92 54 5
93 85 96
94 26 22
95 65 82
96 73 7
97 57 44
98 94 81
99 81 69
100 12 14

PIPELINE SOURCE : 
101 75 75
